text,intent,label,language
Why is force measured in newtons?,QUESTION,6,en
Traduis ce texte en anglais.,TRANSLATE,4,fr
Give me exercises on energy and work Please.,EXERCISES,2,en
Calculate the distance traveled Please.,SOLVE,5,en
Explain how derivatives work.,EXPLAIN,0,en
Compute the acceleration from the data.,SOLVE,5,en
Traduis mes notes en anglais.,TRANSLATE,4,fr
Bonjour.,OTHER,7,fr
Summarize this explanation.,SUMMARIZE,1,en
Tell me a fun fact.,OTHER,7,en
Correct my solution step by step Please.,CORRECT,3,en
How do you say this in French Please.,TRANSLATE,4,en
Explain this topic step by step Please.,EXPLAIN,0,en
Explique la logique derrière cette méthode.,EXPLAIN,0,fr
Résous ce problème de physique.,SOLVE,5,fr
Détermine la valeur de la variable.,SOLVE,5,fr
Who is a famous actor Please.,OTHER,7,en
Peux-tu expliquer cette formule avec des mots ?,EXPLAIN,0,fr
Why does the object stop accelerating?,QUESTION,6,en
Traduis ces mots en français.,TRANSLATE,4,fr
Explain why objects accelerate.,EXPLAIN,0,en
Corrige ce problème que j'ai résolu.,CORRECT,3,fr
Can you verify my calculation?,CORRECT,3,en
Trouve la solution de cette équation.,SOLVE,5,fr
Why is the derivative useful Please.,QUESTION,6,en
Peux-tu clarifier ce concept de physique ?,EXPLAIN,0,fr
Calcule la vitesse finale.,SOLVE,5,fr
Peux-tu raccourcir ce texte ?,SUMMARIZE,1,fr
Translate the following into English.,TRANSLATE,4,en
Translate my notes into English.,TRANSLATE,4,en
Quoi de neuf aujourd'hui ?,OTHER,7,fr
Find the unknown variable.,SOLVE,5,en
Let's talk about movies.,OTHER,7,en
Give me a random fact.,OTHER,7,en
Résous ce problème étape par étape.,SOLVE,5,fr
Why is the answer negative Please.,QUESTION,6,en
Donne-moi des questions pour pratiquer la mécanique.,EXERCISES,2,fr
What does this concept mean? Please explain.,EXPLAIN,0,en
Résume ce chapitre.,SUMMARIZE,1,fr
Create three physics exercises about Newton's laws.,EXERCISES,2,en
Give me exercises without solutions Please.,EXERCISES,2,en
Correct my calculus exercise.,CORRECT,3,en
Make a compact version of these notes.,SUMMARIZE,1,en
Summarize the document I sent you.,SUMMARIZE,1,en
Trouve les erreurs dans mon calcul.,CORRECT,3,fr
Transforme mes notes en résumé.,SUMMARIZE,1,fr
Traduis cette phrase en français.,TRANSLATE,4,fr
Translate this text into English.,TRANSLATE,4,en
Create exercises to practice integration.,EXERCISES,2,en
Hello Please.,OTHER,7,en
What is a derivative?,QUESTION,6,en
Réduis ce texte à ses points principaux.,SUMMARIZE,1,fr
Why does an object accelerate?,QUESTION,6,en
Can you walk me through this concept?,EXPLAIN,0,en
Can you give me some practice problems?,EXERCISES,2,en
Turn this sentence into French.,TRANSLATE,4,en
Give me exercises about derivatives.,EXERCISES,2,en
How do you say this in French?,TRANSLATE,4,en
Is there an error in my calculation?,CORRECT,3,en
Résous ce problème de mécanique.,SOLVE,5,fr
Peux-tu condenser ce paragraphe ?,SUMMARIZE,1,fr
What does this graph represent?,QUESTION,6,en
Calcule l'énergie.,SOLVE,5,fr
I just want to chat.,OTHER,7,en
Find the missing value.,SOLVE,5,en
Check if my solution is correct Please.,CORRECT,3,en
Can you make this text shorter Please.,SUMMARIZE,1,en
Calculate the derivative at this point.,SOLVE,5,en
Give me a summary I can revise from.,SUMMARIZE,1,en
Give me a French version of this.,TRANSLATE,4,en
Find x in this equation.,SOLVE,5,en
Give me a dinner idea.,OTHER,7,en
Make me exercises similar to a test.,EXERCISES,2,en
Give me the French translation.,TRANSLATE,4,en
Explique le sens de cette équation.,EXPLAIN,0,fr
Calcule la vitesse.,SOLVE,5,fr
Fais une version courte de ces notes.,SUMMARIZE,1,fr
Can you check my work Please.,CORRECT,3,en
